Team,Result,,,,,Team,Result,,,
4,L,,,,,3,W,,,
Players,Reighnart,Abyssalmole,AteAWholePizza,Jessazin42,Greg,Ball1232,iswhtw,SirinVictor,Heliotropite,ZombieIsBlue
Combat,,,,,,,,,,
KDA,1/6/2004,2/8/2004,1/6/2003,2000/3/2,2/6/2002,11/0/5,5/2/2004,8/1/2005,4/2/2005,1/1/14
Largest Killing Spree,1,2,1,0,2,11,3,6,2,1
Largest Multi Kill,1,1,1,0,2,2,2,2,1,1
First Blood,○,○,○,○,○,○,●,○,○,○
Damage Dealt,,,,,,,,,,
Total Damage to Champions,5.8k,3.0k,4.4k,2.3k,6.4k,11.2k,8.0k,12.7k,5.6k,3.5k
Physical Damage to Champions,4.5k,1.4k,2.1k,0.3k,5.9k,9.1k,1.5k,11.6k,2.1k,1.3k
Magic Damage to Champions,0.5k,1.6k,2.3k,2.0k,0.5k,0.3k,6.5k,0.4k,2.9k,1.9k
True Damage to Champions,0.8k,0.0k,0.0k,0.0k,0.0k,1.8k,0.0k,0.7k,0.6k,0.3k
Total Damage Dealt,61.0k,10.7k,39.6k,36.5k,42.1k,58.2k,53.9k,87.9k,109.6k,18.8k
Physical Damage Dealt,54.8k,3.9k,29.4k,5.2k,37.0k,49.1k,10.8k,76.7k,55.8k,5.4k
Magic Damage Dealt,2.8k,2.4k,10.2k,28.4k,2.4k,0.7k,38.0k,6.0k,47.9k,9.4k
True Damage Dealt,3.3k,4.4k,0.0k,2.8k,2.7k,8.4k,5.1k,5.2k,5.9k,4.0k
Largest Critical Strike,-,-,-,-,466,-,-,361,-,-
Total Damage to Objectives,1.5k,0.0k,0.0k,0.0k,0.0k,13.7k,14.4k,3.4k,19.2k,1.7k
Total Damage to Turrets,0.0k,0.0k,0.0k,0.0k,0.0k,4.3k,2.8k,1.7k,1.4k,1.5k
Damage Taken & Healed,,,,,,,,,,
Damage Healed,3.0k,0.2k,0.1k,0.2k,0.3k,2.1k,3.8k,2.9k,6.2k,0.8k
Damage Taken,14.3k,10.0k,11.4k,6.8k,8.0k,4.5k,10.1k,9.2k,16.0k,4.7k
Physical Damage Taken,9.6k,6.2k,6.0k,5.8k,6.3k,3.1k,7.2k,7.8k,13.2k,3.8k
Magic Damage Taken,3.9k,2.6k,4.7k,0.6k,1.4k,1.1k,2.7k,1.2k,2.6k,0.9k
True Damage Taken,0.7k,1.3k,0.7k,0.3k,0.3k,0.2k,0.1k,0.3k,0.2k,0.0k
Wards,,,,,,,,,,
Wards Placed,6,10,9,5,4,7,5,7,4,7
Wards Destroyed,-,-,-,2,1,3,1,1,1,1
Stealth Wards Purchased,-,-,-,-,-,-,-,-,-,-
Control Wards Purchased,-,2,4,1,1,3,-,1,1,-
Income,,,,,,,,,,
Gold Earned,5.3k,5.0k,4.6k,4.3k,5.6k,9.0k,7.8k,9.1k,7.8k,6.0k
Gold Spent,4.9k,4.7k,4.2k,4.2k,5.1k,8.2k,7.3k,7.0k,6.9k,5.7k
Minions Killed,-,18,72,88,110,101,87,152,18,27
Neutral Minions Killed,75,-,-,-,-,8,4,4,108,4
Neutral Minions Killed in Team's Jungle,62,-,-,-,-,-,-,-,74,-
Neutral Minions Killed in Enemy Jungle,-,-,-,-,-,-,-,-,8,4